	Tweet
0	My Developing SQL Server Databases IQ is 208—that’s better than 84% of my peers! What's your #PluralsightIQ? https://t.co/Vtc2CdYdPj
1	This intro to leadership course on @pluralsight was my first non-career course. It marked a change from purely care… https://t.co/2hrF5sMfJ0
2	Want to get @Azure certified?  Best way to start is with the AZ-900 - #Azure Fundamentals Certification!  Check out… https://t.co/l9qcjGqKma
3	Get the skills to pay the bills for $0. https://t.co/DMqtzZC9Ar
4	My Building Websites with HTML, CSS, and JavaScript IQ is 192—that’s better than 76% of my peers! What's your… https://t.co/Y4APY2JRds
5	#learntocode with @pluralsight
6	@andybak @pluralsight It's a brilliant clickbait
7	"📱 Mobile Development in Bits 📱

@pluralsight is a fantastic place for all sorts of educational content 🧐
If you are… https://t.co/IMdGS30mvi"
8	@broken_rig Take a look at @mGear_Framework facial rigging workshop on YouTube. @Muream did one using blender, conc… https://t.co/Fw0KkjWECN
9	[Humble] Python Development by Pluralsight (Pay 1EUR for Getting Started with Python on SQL Server, Building Knowle… https://t.co/rgIbzCUDiw
10	"Which #techtrend are you focusing on? Let us know! 
https://t.co/17KlZ1MCSd https://t.co/fvbHAOajqP"
11	@pluralsight jeffrey biden from peru is going to replace thou...
12	"Planning for 2H2021
Pluralsight courses, domestic travel, and a new Day Two Cloud episodes are among some of what I… https://t.co/rcUOvQVUfs"
13	@vladcatrinescu @pluralsight I highly recommend this path.  It was VERY helpful for, me in getting certified.
14	🤗I've just completed a ⭐brilliant course about the #Sprint #backlog and #release management - including a simulatio… https://t.co/pdGFp43Cu7
15	Increasing Mental Health Awareness for Improved Inclusion: Take this new course and thousands more @Pluralsight!… https://t.co/6DN5glonIl
16	"@pluralsight WYSIWYG AI + Data + Explanations, Now!
Use your browser to write and run readable analytic models as s… https://t.co/IR7Xd1GgVJ"
17	Mountain views from HQ #pluralsight https://t.co/Y4FfMskwZx
18	@bluflametech @DanWahlin @pluralsight Thanks! :)
19	@TechTrainerTim @pluralsight Thanks, Tim! Very happy to cap off this series at last.
20	Panel | Eliminating waste in your development cycle https://t.co/y6RaGo4rKg
21	@bluflametech @housecor @pluralsight Thanks! Very nice of you to say that. Appreciate it and am glad to hear the… https://t.co/XcBnwvxmXU
22	"My Cloud Engineer (Google Cloud) IQ is 202 (Expert) — that’s better than 81% of my peers! 
https://t.co/LlzQihjPUR"
23	"Give credit where credit is due.
Today, we acknowledge @DanWahlin and @housecor for their great tech course content… https://t.co/axn0LOk2AD"
24	Having a PC that won't boot is always a source of frustration. This course will show you how to diagnose and repair… https://t.co/twI8Vlp41s
25	@pluralsight To call 2020 the worst year ever is so devoid of historical understanding that it is not even laughabl… https://t.co/KNYMyzJkER
26	'Aruba is partnering with Pluralsight to help IT teams keep their networking skills relevant' https://t.co/tQ6kPUmbCO
27	"We published a new Azure data security course today that is highly relevant to my interests. | 
Design Principles f… https://t.co/5Y6FvgzglJ"
28	Congrats on yet another new Pluralsight course, Casey! | Closing out Project Work | https://t.co/ku7GXNa4Q5 | @caseyayers @pluralsight
29	"My latest @pluralsight course ""Deploying Applications in #Azure #Kubernetes Service "" just dropped :) https://t.co/h8sJK8xF0J #aks"
30	"Start learning your favourite software development course for free from Pluralsight. 

Master it and improve your c… https://t.co/hIWK3K0Ez9"
31	Tech leaders Jan Trojanowski, Kimbaly St. Matthew-Daniel and @Bdizz33 break down their process to identify and elim… https://t.co/rKiNJhmgq2
32	"#CloudComputing 

Azure &gt; GCP though https://t.co/gB3o313iON"
33	Fostering a cohesive project team can signal success. Learn communication skills and collaboration best practices t… https://t.co/1AI5fpRhfM
34	@ASpittel @pluralsight @AWSAmplify Is Pluralsight worth applying to?
35	Learn how to build beautiful web applications from scratch with #angular and #materialdesign, course is now updated… https://t.co/YNv1cHhC7J
36	I’m pursuing PDII. ApexHours, Pluralsight, PDII trail mix, plus many other resources already in use.  Are there any… https://t.co/U1reWflxkU
37	@Andela @adomako_bismark @pluralsight @adomako_bismark boss I salute 🙌🏽
38	🎉 It's so exciting to see Andela engineers actively contributing to the learning ecosystem. @adomako_bismark has a… https://t.co/O1p58n3hbI
39	#TrailheadThursday Understanding Salesforce Security @irenamiz  &amp; @donrobins Practice makes perfect indeed.  Intere… https://t.co/TQwDI00B7u
40	"@pachicodes My list is about as long as yours, LOL!

- Rust,
- Go,
- AWS,
- MongoDB,
- Azure DevOps stuff,
- React,… https://t.co/sHb3uhvS99"
41	'Aruba is partnering with Pluralsight to help IT teams keep their networking skills relevant' https://t.co/nrPQqBTUHq
